crim_or_tax,word,count
crim,supreme,870
crim,court,22458
crim,canada,4070
crim,citation,532
crim,poulin,1513
crim,2019,570
crim,appeal,17009
crim,heard,656
crim,march,413
crim,judgment,2328
crim,rendered,473
crim,october,481
crim,docket,507
crim,37994,34
crim,majesty,1151
crim,queen,1997
crim,appellant,8093
crim,rosaire,51
crim,respondent,5635
crim,attorney,2978
crim,general,5873
crim,ontario,3166
crim,association,2080
crim,québécoise,85
crim,avocats,185
crim,avocates,85
crim,défense,180
crim,criminal,10968
crim,lawyers,1010
crim,interveners,802
crim,official,167
crim,english,631
crim,translation,856
crim,reasons,4608
crim,karakatsanis,1982
crim,coram,522
crim,wagner,1420
crim,abella,2116
crim,moldaver,2200
crim,côté,720
crim,brown,706
crim,martin,781
crim,paras,3537
crim,dissenting,1341
crim,concurring,771
crim,note,831
crim,document,367
crim,subject,1561
crim,editorial,62
crim,revision,117
crim,reproduction,67
crim,final,579
crim,form,1235
crim,reports,472
crim,indexed,507
crim,file,724
crim,present,1599
crim,quebec,924
crim,constitutional,1298
crim,charter,4802
crim,rights,3395
crim,benefit,1546
crim,lesser,1537
crim,punishment,3741
crim,offender,4725
crim,convicted,1284
crim,historical,208
crim,sexual,9347
crim,offences,3781
crim,asserting,57
crim,right,6093
crim,receive,762
crim,sentence,5131
crim,available,1599
crim,code,6404
crim,time,6982
crim,commission,1567
crim,sentencing,4990
crim,discrete,59
crim,period,921
crim,times,632
crim,whether,10315
crim,applicable,1327
crim,offence,10096
crim,interval,394
crim,canadian,3008
crim,freedoms,793
crim,appeals,749
crim,mootness,98
crim,death,1765
crim,passing,79
crim,away,378
crim,leave,947
crim,granted,588
crim,prior,1466
crim,hearing,2295
crim,exercise,1267
crim,discretion,1199
crim,hear,307
crim,found,4082
crim,guilty,2169
crim,2016,871
crim,committed,2415
crim,1979,253
crim,1987,344
crim,complainant,4449
crim,years,2405
crim,judge,19312
crim,sentenced,847
crim,conditional,723
crim,less,987
crim,counts,593
crim,gross,466
crim,indecency,377
crim,could,6310
crim,imposed,1576
crim,acts,1368
crim,became,272
crim,1996,678
crim,furthermore,478
crim,parties,1846
crim,agreed,841
crim,longer,604
crim,according,1040
crim,provisions,3255
crim,force,2176
crim,charged,1639
crim,imposing,295
crim,considered,2363
crim,entitled,1338
crim,dismissed,1298
crim,crown,10956
crim,holding,291
crim,gave,718
crim,shortly,159
crim,passed,218
crim,proceeded,164
crim,nonetheless,622
crim,accompanied,204
crim,motion,955
crim,adjudicate,117
crim,even,2918
crim,though,828
crim,become,496
crim,factually,54
crim,moot,340
crim,held,2736
crim,proceed,525
crim,allowed,1531
crim,rare,306
crim,exceptional,557
crim,cases,3226
crim,ought,450
crim,first,4870
crim,adversarial,212
crim,submissions,1025
crim,case,11682
crim,second,3023
crim,raises,527
crim,important,1504
crim,question,4702
crim,received,746
crim,comprehensive,174
crim,treatment,1820
crim,jurisprudence,800
crim,third,1365
crim,proper,1261
crim,interpretation,3323
crim,legal,3540
crim,issue,5545
crim,public,3516
crim,importance,838
crim,transcends,39
crim,fourth,189
crim,value,1319
crim,ruling,739
crim,clearly,1272
crim,outweighs,196
crim,concerns,1623
crim,limited,1378
crim,judicial,1541
crim,resources,375
crim,much,831
crim,efficient,79
crim,fair,1174
crim,decide,804
crim,national,368
crim,rather,2047
crim,cause,1568
crim,future,494
crim,litigants,74
crim,lower,294
crim,courts,2924
crim,expend,39
crim,debating,34
crim,inevitably,211
crim,reaches,49
crim,anew,83
crim,finally,1103
crim,parliament,3415
crim,define,169
crim,scope,1252
crim,would,15096
crim,therefore,3027
crim,intruding,54
crim,legislative,1000
crim,role,1210
crim,answering,101
crim,purposive,416
crim,analysis,2869
crim,leads,276
crim,conclusion,2375
crim,temporary,140
crim,reduction,143
crim,occurred,1123
crim,section,3588
crim,confers,353
crim,binary,911
crim,global,1684
crim,involves,496
crim,comparison,229
crim,punishments,1082
crim,laws,601
crim,points,646
crim,contrast,459
crim,review,2395
crim,existed,377
crim,least,861
crim,severe,260
crim,entire,383
crim,span,39
crim,language,1423
crim,origins,297
crim,confirm,174
crim,purposes,2412
crim,namely,495
crim,rule,2235
crim,fairness,1492
crim,indicate,269
crim,intended,2142
crim,confer,252
crim,must,8672
crim,interpreted,578
crim,purposively,74
crim,manner,1320
crim,justified,847
crim,mistakenly,69
crim,conflated,54
crim,generous,298
crim,large,363
crim,liberal,149
crim,ultimately,641
crim,bounded,34
crim,given,2908
crim,reading,591
crim,fallen,44
crim,error,2618
crim,prioritizing,34
crim,generosity,51
crim,purpose,3837
crim,identifying,199
crim,principles,1747
crim,underlying,492
crim,simply,1556
crim,concluded,1486
crim,accused,13774
crim,however,4828
crim,principle,2695
crim,provision,3211
crim,bearing,585
crim,plausible,184
crim,meaning,1718
crim,read,990
crim,favours,96
crim,penal,361
crim,statutory,1701
crim,require,1256
crim,impose,573
crim,favourable,554
crim,identifiable,86
crim,reflect,342
crim,kind,363
crim,reflects,437
crim,unduly,256
crim,disconnected,73
crim,conducting,249
crim,starting,178
crim,point,1892
crim,worded,79
crim,corroborate,64
crim,determinative,244
crim,provide,2145
crim,instructive,74
crim,context,3666
crim,reveals,133
crim,nothing,946
crim,inspire,44
crim,drafting,89
crim,enactment,547
crim,part,4191
crim,landscape,49
crim,common,2071
crim,certainly,299
crim,recognize,281
crim,none,486
crim,enactments,49
crim,inspiring,68
crim,embraced,49
crim,either,1226
crim,balances,64
crim,hand,831
crim,enshrines,34
crim,retrospectively,148
crim,subjected,231
crim,heavier,122
crim,person,7005
crim,rationale,347
crim,specifically,771
crim,legality,209
crim,dictates,71
crim,persons,1673
crim,rely,761
crim,state,2428
crim,risk,3725
crim,liability,686
crim,associated,566
crim,breaking,169
crim,subsequently,266
crim,different,1932
crim,particularly,940
crim,stringent,154
crim,ones,226
crim,constitutionalizes,34
crim,additional,807
crim,protection,1653
crim,stipulates,39
crim,provides,1236
crim,current,362
crim,choosing,79
crim,reduce,194
crim,expressly,584
crim,recognized,874
crim,appropriate,1984
crim,expression,616
crim,society,1645
crim,collective,79
crim,voice,104
crim,meant,440
crim,contemporary,185
crim,values,609
crim,unfair,386
crim,arbitrary,175
crim,punished,126
crim,place,1571
crim,contrary,1256
crim,linked,194
crim,proceedings,2270
crim,sets,307
crim,risked,142
crim,incurring,39
crim,acted,364
crim,likewise,143
crim,contours,76
crim,attitude,89
crim,gravity,431
crim,responsibility,627
crim,precise,248
crim,moment,306
crim,accordingly,1269
crim,rational,259
crim,conversely,111
crim,principled,581
crim,basis,2960
crim,grant,832
crim,connection,509
crim,offending,137
crim,conduct,5828
crim,view,4983
crim,called,741
crim,upon,1966
crim,pass,185
crim,countervailing,79
crim,considerations,693
crim,militate,88
crim,approach,3226
crim,disproportionately,93
crim,decades,130
crim,like,1242
crim,often,835
crim,long,855
crim,unreported,66
crim,survivors,44
crim,trauma,49
crim,commonly,109
crim,delay,568
crim,disclosing,239
crim,abuse,773
crim,embarrassment,64
crim,fear,424
crim,guilt,1209
crim,lack,654
crim,understanding,478
crim,knowledge,856
crim,gain,131
crim,victim,859
crim,traumatized,34
crim,requiring,709
crim,significant,1438
crim,overcome,219
crim,reluctance,39
crim,report,784
crim,overwhelming,259
crim,number,1172
crim,proceeding,645
crim,interests,1657
crim,justice,6977
crim,hard,154
crim,conclude,1394
crim,real,448
crim,exists,238
crim,true,752
crim,concerning,437
crim,always,731
crim,great,344
crim,special,360
crim,circumstances,6292
crim,transcend,78
crim,light,1474
crim,consistent,1139
crim,said,2045
crim,conflicting,97
crim,lines,222
crim,ordinarily,132
crim,evasive,103
crim,appellate,1901
crim,inequity,34
crim,deceased,619
crim,despite,702
crim,opposition,54
crim,family,288
crim,obvious,331
crim,merits,475
crim,consistently,307
crim,guarantees,195
crim,applied,1658
crim,finds,221
crim,ample,52
crim,support,1587
crim,words,2290
crim,suggest,626
crim,continuum,52
crim,technical,192
crim,construction,429
crim,proposed,883
crim,taken,1875
crim,adopted,649
crim,objects,138
crim,identified,731
crim,ensuring,384
crim,several,871
crim,course,1183
crim,investigation,1008
crim,prosecution,985
crim,individual,1284
crim,might,1716
crim,required,3247
crim,make,2665
crim,choices,88
crim,contingent,64
crim,evidence,22810
crim,relied,1023
crim,existing,464
crim,grounded,109
crim,possibility,1260
crim,complicate,84
crim,weigh,249
crim,seems,361
crim,imprudent,34
crim,offenders,1510
crim,substantial,459
crim,difficulties,164
crim,especially,298
crim,actual,461
crim,wording,461
crim,proposal,39
crim,object,794
crim,ensure,1060
crim,corresponds,54
crim,social,431
crim,stigma,111
crim,confuse,99
crim,availability,394
crim,appropriateness,74
crim,involving,544
crim,multiple,403
crim,incidents,194
crim,serious,1943
crim,young,1063
crim,relative,171
crim,cited,1310
crim,smith,536
crim,2004,1032
crim,s.c.r,11862
crim,referred,1242
crim,belzil,129
crim,1989,390
crim,r.j.q,96
crim,1117,51
crim,mclellan,56
crim,nsca,213
crim,forget,64
crim,1988,520
crim,borowski,93
crim,beaton,34
crim,2018,647
crim,onca,1295
crim,wigglesworth,51
crim,cadman,85
crim,bcca,838
crim,c.c.c,2040
crim,bent,119
crim,2017,1062
crim,onsc,244
crim,3189,51
crim,c.r.r,397
crim,yusuf,85
crim,2011,1862
crim,bcsc,251
crim,mehanmal,85
crim,2012,2552
crim,oncj,199
crim,drug,854
crim,mart,49
crim,ltd.,354
crim,1985,1203
crim,k.r.j.,221
crim,liang,68
crim,2014,2544
crim,b.c.a.c,524
crim,2015,1540
crim,simmonds,71
crim,wilson,168
crim,wiles,34
crim,2005,1051
crim,rodgers,59
crim,2006,1202
crim,cross,74
crim,n.s.r,264
crim,boudreault,174
crim,johnson,195
crim,2003,778
crim,tran,216
crim,safety,849
crim,emergency,139
crim,preparedness,64
crim,r.a.r.,51
crim,2000,1196
crim,lewis,59
crim,nucci,34
crim,mbca,204
crim,2009,1993
crim,sinclair,108
crim,2010,1615
crim,holt,39
crim,mcintosh,44
crim,1995,620
crim,dunn,93
crim,carter,194
crim,1986,179
crim,kalanj,34
crim,1594,34
crim,potvin,54
crim,1993,744
crim,kelly,59
crim,1992,524
crim,hooyer,34
crim,dineley,99
crim,brosseau,34
crim,alberta,939
crim,securities,59
crim,bengy,34
crim,reference,653
crim,195.1,44
crim,1990,494
crim,1123,44
crim,whaling,34
crim,daoust,49
crim,montréal,505
crim,city,99
crim,droits,83
crim,personne,34
crim,jeunesse,34
crim,2008,1947
crim,stillman,34
crim,kapp,34
crim,s.a.c.,34
crim,docherty,136
crim,uksc,51
crim,federal,439
crim,republic,44
crim,germany,34
crim,application,3930
crim,7900/77,34
crim,1978,226
crim,scoppola,323
crim,italy,51
crim,echr,170
crim,1297,34
crim,e.h.r.r,34
crim,motor,349
crim,vehicle,1019
crim,l.m.,89
crim,klemenz,34
crim,skca,176
crim,sask,191
crim,d.d.,39
crim,dubois,129
crim,december,354
crim,1982,234
crim,r.n.s.,44
crim,statutes,764
crim,regulations,452
crim,amend,258
crim,children,801
crim,vulnerable,204
crim,s.c.,814
crim,bill,369
crim,1960,84
crim,treaties,17
crim,international,357
crim,instruments,49
crim,convention,51
crim,human,766
crim,fundamental,935
crim,u.n.t.s,34
crim,european,102
crim,covenant,34
crim,civil,994
crim,political,144
crim,1976,106
crim,authors,342
crim,meeting,304
crim,officials,221
crim,constitution,220
crim,draft,231
crim,discussion,318
crim,ottawa,281
crim,1980,259
crim,resolution,230
crim,respecting,236
crim,government,372
crim,honourable,49
crim,pierre,112
crim,elliott,27
crim,trudeau,34
crim,people,950
crim,objectives,466
crim,confederation,34
crim,institutions,104
crim,printer,27
crim,1969,118
crim,oxford,164
crim,dictionary,164
crim,katherine,27
crim,barber,22
crim,mills,397
crim,university,117
crim,press,202
crim,collins,62
crim,toronto,1495
crim,harpercollins,17
crim,hogg,120
crim,peter,224
crim,supp,76
crim,scarborough,52
crim,thomson/carswell,22
crim,2007,942
crim,updated,104
crim,release,2319
crim,mcleod,34
crim,roderick,17
crim,defence,7151
crim,carswell,117
crim,1983,362
crim,loose-leaf,134
crim,petit,27
crim,robert,179
crim,dictionnaire,22
crim,alphabétique,22
crim,analogique,22
crim,langue,32
crim,française,32
crim,nouvelle,22
crim,paris,32
crim,moins,90
crim,vauclair,27
crim,tristan,22
crim,desjardins,59
crim,traité,47
crim,général,37
crim,preuve,27
crim,procédure,47
crim,pénales,127
crim,yvon,52
crim,blais,42
crim,westen,44
crim,mitior,85
crim,converse,39
crim,post,159
crim,facto,59
crim,window,54
crim,desert,54
crim,crim,224
crim,maxime,42
crim,hébrard,22
crim,sylvie,22
crim,villeneuve,37
crim,michael,227
crim,perlin,17
crim,kathleen,22
crim,farrell,137
crim,intervener,2311
crim,gabriel,17
crim,babineau,17
crim,vincent,82
crim,paquet,17
crim,breana,17
crim,vandebeek,17
crim,marianne,17
crim,salih,17
crim,delivered,909
crim,overview,242
crim,every,1082
crim,enjoys,37
crim,certain,1387
crim,basic,314
crim,contained,345
crim,grants,49
crim,varied,233
crim,relying,352
crim,asserts,124
crim,essence,196
crim,argues,600
crim,entitles,185
crim,temporarily,95
crim,elapsed,47
crim,accountable,32
crim,crimes,998
crim,claims,264
crim,bears,340
crim,temporal,188
crim,record,2274
crim,show,929
crim,took,1043
crim,steps,899
crim,reliance,376
crim,interactions,167
crim,system,2005
crim,instance,454
crim,confess,192
crim,enter,421
crim,plea,687
crim,asks,211
crim,based,1841
crim,nature,2751
crim,particular,2781
crim,determining,1149
crim,properly,1556
crim,tethered,34
crim,meaningful,266
crim,former,308
crim,jeopardy,57
crim,established,1129
crim,advance,342
crim,consequences,1244
crim,flow,134
crim,chosen,189
crim,latter,390
crim,considers,423
crim,up-to-date,17
crim,degree,1889
crim,connected,174
crim,criminality,74
crim,strong,441
crim,enjoy,86
crim,automatic,159
crim,previous,429
crim,exposed,147
crim,sense,1235
crim,lenient,133
crim,exceed,137
crim,distort,112
crim,explain,913
crim,supporting,382
crim,strongly,132
crim,towards,374
crim,ceiling,54
crim,clement,17
crim,result,2280
crim,resurrect,61
crim,reductions,39
crim,came,765
crim,bear,320
crim,whatsoever,101
crim,standards,119
crim,granting,300
crim,specific,2071
crim,retrospective,123
crim,access,778
crim,need,1768
crim,open,724
crim,door,312
crim,lowest,110
crim,ever,359
crim,since,1430
crim,constitutionalize,68
crim,past,592
crim,discarded,22
crim,amended,319
crim,reflected,216
crim,represent,121
crim,core,147
crim,tenets,27
crim,comb,17
crim,belong,37
crim,among,519
crim,allow,878
crim,eligible,79
crim,recent,204
crim,decline,126
crim,remit,89
crim,matter,1732
crim,facts,2222
crim,history,1089
crim,count,289
crim,assault,2167
crim,246.1,17
crim,r.s.c,1014
crim,1970,104
crim,c-34,59
crim,suffering,77
crim,health,718
crim,problems,321
crim,conceded,234
crim,prison,351
crim,three,1831
crim,half,162
crim,argued,673
crim,exceptionally,82
crim,served,396
crim,community,966
crim,accepted,687
crim,position,1632
crim,suspended,67
crim,probation,632
crim,together,589
crim,ancillary,59
crim,orders,874
crim,sentences,1030
crim,exist,261
crim,entered,741
crim,consequence,261
crim,thereof,302
crim,agree,1913
crim,repealed,192
crim,c-46,682
crim,amounted,222
crim,including,2037
crim,captured,177
crim,made,5254
crim,statutorily,54
crim,unavailable,133
crim,742.1,83
crim,consider,2881
crim,equally,392
crim,indictable,419
crim,criminalized,92
crim,modern,291
crim,differently,491
crim,restriction,57
crim,extends,99
crim,comment,317
crim,raised,1136
crim,analyze,62
crim,threshold,1562
crim,actually,554
crim,indecencies,34
crim,qccq,162
crim,7015,17
crim,26-27,37
crim,canlii,991
crim,appealed,277
crim,arguing,179
crim,things,521
crim,rejected,755
crim,argument,988
crim,earlier,584
crim,decision,2876
crim,qcca,526
crim,32-33,32
crim,1139,17
crim,thus,1871
crim,books,79
crim,february,539
crim,issues,1703
crim,outlined,216
crim,weeks,267
crim,filed,292
crim,factum,230
crim,intervene,252
crim,learning,27
crim,accordance,610
crim,counsel,3861
crim,wrote,212
crim,saying,254
crim,materials,37
crim,deadline,22
crim,later,978
crim,provided,1843
crim,affidavit,162
crim,confirming,127
crim,executor,34
crim,instructed,839
crim,continue,317
crim,representing,42
crim,alongside,52
crim,take,1735
crim,appropriately,122
crim,concedes,97
crim,five,537
crim,non-exhaustive,122
crim,factors,1916
crim,warranting,89
crim,adjudication,84
crim,strength,393
crim,grounds,1441
crim,appellant/respondent,34
crim,otherwise,953
crim,systemic,141
crim,related,786
crim,administration,1573
crim,collateral,576
crim,interested,83
crim,order,5331
crim,justifies,81
crim,expenditure,44
crim,resolve,219
crim,continuing,94
crim,beyond,1493
crim,function,487
crim,resolving,77
crim,concrete,182
crim,disputes,42
crim,involve,386
crim,free-standing,27
crim,legislative-type,17
crim,pronouncements,27
crim,left,1164
crim,legislature,319
crim,para,13040
crim,overall,342
crim,adjudicating,67
crim,submitted,349
crim,full-length,17
crim,advancing,96
crim,advocated,32
crim,aqaad,85
crim,also,6173
crim,perspectives,37
crim,aligned,47
crim,arguable,82
crim,indeed,1200
crim,decisions,870
crim,addressing,201
